epoch,train_loss,train_acc1,test_acc1,cls_loss,pca_loss,gl_loss,gan_loss,lr
0,0.60752,81.80424,85.86667,,,,,0.0002
1,0.55587,84.86242,88.4,,,,,0.0002
2,0.53086,86.12927,87.86667,,,,,0.0002
3,0.51471,87.23473,83.8,,,,,0.00019
4,0.50009,88.20302,91.0,,,,,0.00018
5,0.48001,89.2762,90.6,,,,,0.00017
6,0.46887,90.0589,90.66667,,,,,0.00016
7,0.4504,91.16437,90.4,,,,,0.00015
8,0.43237,92.21335,92.53333,,,,,0.00013
9,0.41536,93.1897,92.93333,,,,,0.00012
10,0.4052,93.62543,92.06667,,,,,0.0001
11,0.38968,94.60986,93.6,,,,,8e-05
12,0.37483,95.33608,94.4,,,,,7e-05
13,0.36793,95.7476,93.46667,,,,,5e-05
14,0.35352,96.57064,94.4,,,,,4e-05
15,0.34493,97.09513,94.73333,,,,,3e-05
16,0.33675,97.53086,95.06667,,,,,2e-05
17,0.33351,97.61155,95.2,,,,,1e-05
18,0.33059,97.8617,94.8,,,,,0.0
19,0.3262,98.18446,94.8,,,,,0.0
